Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
NPUF30024	US	Mega Man 3	http://zeus.dl.playstation.net/cdn/JP0102/NPJJ00341_00/YQAIPlDbUSXQJZgTZBgaFUglkfgQYVqZJXeqynpKnlDTtAXfgnOklwuUiDopMMfkuVeCASaiJQqmmJahpUXYlbvgHxOWmkCyOYQsN.pkg	JP0102-NPUF30024_00-0000000000000001	2017-11-14 12:01:48		247661456	8a8cde09603edf76433359705ec4eb1f8419e5641919b9f6ef6857e1c6a8c8c0
NPUF30025	US	Yakiniku Bugyou 	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00314_00/B4gQuMBkeBWU3Kwl6gWNqkybAAexHAO0HRmArvNWf4a910gHMPaKHKUY6aW0Ldqe3d9Hrwu1YNEKXo8h2jelHsI0JsTw88Hj4lDFs.pkg	JP0571-NPUF30025_00-0000000000000001	2017-11-14 13:46:47		52305200	98fb924220ac0795f8d7ed91eb93f7119535ca8687700f730afbf949fc9674ca
NPUF30026	US	Rapid Angel	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00286_00/QKCUblxGCiNapKTAktlwBGWYKXJlltU368CDV338ThbFj2iBAIWBJQuSGHbxO5n24oo4oLkbPpF4hRloUXx31Yk45GRs90UKrq5Qj.pkg	JP0571-NPUF30026_00-RAPIDANGEL000000	2017-11-14 22:23:27		126422320	da49caab44618dae4c5564b4f70925d025af23b8d71a49d2e261a376be8d04d4
NPUF30027	US	Kyuiin 	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00321_00/MPqCOpfrfpUFHTGjUufW0fnjOcIfFH7Iv3WXHYkplwDbIll8OTsbnYawKVsnlO22aINW0NhEwOfObLIiTkaaKJ1kFj5Ha0SlhcS8a.pkg	JP0571-NPUF30027_00-0000000000000001	2017-11-14 13:48:08		136388880	cb206bae9bff9519c94c7c4607e2103006d2d48be547868d90ad7f140404ae7e
NPUF30028	US	Cyberbots: Fullmetal Madness	http://zeus.dl.playstation.net/cdn/JP0102/NPJJ00510_00/AaynTEhwCwjIVeKYMwbLVnpciXGfAFvKfQlJXzRXkubLwfizVTJvkKPeJxBkFPhqRoBEIxmlkhBVbLuNUIBcSumJMIdXxeUBBJUjm.pkg	JP0102-NPUF30028_00-CYBERBOTSFULLMET	2017-11-14 22:23:11		336479504	93a695229039f544864ecd21e1ec03221d6097d15c8056856aae74078d2b51bc
NPUF30029	US	Mega Man 4	http://zeus.dl.playstation.net/cdn/JP0102/NPJJ00511_00/BXWOYeOsBGqkFSBQSJwYTpfChTunECNVfXrmYmUTGimDeVXJCCuGdTgHeLjVEkwpDXPkXJFoPQoGwZnCllbeejtDAvroFURRhIrEF.pkg	JP0102-NPUF30029_00-0000000000000001	2017-11-14 12:08:18		410210656	644ec272aa674ad272fe30ca238dded482da120ee1ea753e86e3a08f8046da17
NPUF30030	US	Dezaemon Kids!	http://zeus.dl.playstation.net/cdn/JP0035/NPJJ00146_00/yVKCHsOQkGSeJfumiBdtgCQobIHJtxmRRlYKJMbAcZRZFMtPvYknGwUtkvfPXdUPYmoAETjKXjXDJEpIPIFPzgggeqglMzwQitFVE.pkg	JP0035-NPUF30030_00-DEZAEMONKIDS0000	2017-11-14 22:22:51		166198928	95614792e6ff4e465a6d4b1922c187667cdc7d88cf3a2534d067cc0ca2abfbff
NPUF30031	US	Arcade Hits: Magical Drop	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00127_00/4J3wFlLqxOKVmun7psvHH3cn6b9kiWHStrSJYyvW2WUhLRQyClgoP0SUwHtBn1PG4iIq42aGf7aWi2L5nNDPlQTfuIiLCJcYS41JU.pkg	JP0571-NPUF30031_00-0000000000000001	2017-11-14 13:47:18		94051136	199befd7ccd8f2627bbd75c2dd5862216ad5caef871eef78fa0bba6d525a8821
NPUF30033	US	ART CAMION SUGOROKUDEN	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00504_00/uIwBOkGyQpkrbsxayOxwRrmVImaNqJTavhAmQIFISTChfgNmhfnPVBPQZcEgwxXBlFwhCYoXOdgqWXMydCSlnZabBeLYLEBKkKjca.pkg	JP0747-NPUF30033_00-ARTCAMIONSUGOROK	2017-11-14 22:22:34		80947568	788fc59f6419eacdfc24924a0698d24baa790bdc505da57f01bff91ee91ca8c9
NPUF30034	US	FINGER★FLASHING	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00487_00/oT4J5EXcYx18w5n5wIqf469dls3Wa6TnF5LNg4qnAvSLNYYOXI09dukuwsYCWn5FHAJs7KA0FegHqUvrKS7hjr8JmvsMw4G6gy1AA.pkg	JP0747-NPUF30034_00-0000000000000001	2017-11-21 10:20:08		17957040	854f91a15daa463d91ff55af5b42e4f304251caf546353335b207945b44948cf
NPUF30035	US	LUP★SALAD	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00457_00/cL0ddLWPrjg4e54Y4ndc883YMhAclQcwy7uhAgqYnh3RkhBeF716y16gxPpbkL11R8UkLnASPv2PQb1r7VouxmwGslswLEIuOfnHT.pkg	JP0747-NPUF30035_00-LUPSALADJPIMPORT	2017-10-30 15:55:05		126365136	a7f4fdeff8750fbbd9a540517dc50df2a9da4730eb0f5af776a7359475209712
NPUF30036	US	MAKERUNA MAKENDO2	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00402_00/j2GFjE2wwFkRjQcUcA4q2CRUxLtMwuibrrGhXCFBKB6PXr42TrAVfd9EM7PvuVSDYjo1HJlVp59mXpILDU4oyIJ7aU5XYDX7HPN3a.pkg	JP0747-NPUF30036_00-0000000000000001	2017-10-30 15:55:05		94698416	4d4a7d1fc16a61b02825b5a77f8c99efb6d7d9bcd014116ae80735ccd634ebbc
NPUF30037	US	VEHICLE CAVALIER	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00550_00/cxYYUghCvgSZIVKXmrZuFqtWqMPeHdUdANmOEPjfuaqoMrgizlRjNjDHvMxXwGdZHAMTLjXQctMrYXJWxeWLDHiFSngBZASYNpUjO.pkg	JP0747-NPUF30037_00-0000000000000001	2017-11-14 22:21:59		45685520	574c32fc6227e43e6c9291bb133b2457c70cc47791852f4e2ff383c9bfaa619d
NPUF30038	US	ZANAC×ZANAC	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00412_00/KHrlEFLBS1RmDobIFNI7eSJJ0A5AaWp4iy4t0kpd3L7LCvgcWRiCNevSwtUOcRxBAIV4U2e3h7erDG2MB2L1jeAcCiEOMoXR9ECtT.pkg	JP0747-NPUF30038_00-0000000000000001	2017-11-13 17:10:35		222751904	76e323fb91180006f9f54c54795e9de54b89ea8266e329f2480d7900c2cce83f
NPUF30039	US	Zero Kara no Mahjong ~Mahjong Tamago-gumi 2~	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00450_00/7YwKD1msIA0Dol0tDDvNrPCNGJun8nlfOfj8LrCJaAHlPJAdqPXdWVJm8aa6cVWPHJodddUT6JLDO9W34W38GiybFe4qMf4fe7vgs.pkg	JP0747-NPUF30039_00-0000000000000001	2017-11-14 22:21:19		194024256	d6483a42fdfb6323fb5c89c799b98f19f61b5777a56e54920539389611b83f98
NPUF30040	US	Mahjong Youchien Tamago-gumi	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00401_00/HiVMWoTVGEDMXAcqoJe1IrUgiXaXCMwtlpBveToq6qMJnEDAVS6yKX5ekBpJG3J8a1RBG84DTSwWlLMLjoG82mftcJ0xTQJ4nUiKK.pkg	JP0747-NPUF30040_00-0000000000000001	2017-11-14 22:21:09		84287952	a8db39e8f470febaa8d4ab7de78cca50e8bc67e268dab04973fd65ed2e21173a
NPUF30041	US	Zero Kara No Shogi~Shogi Youchien Ayumi-gumi~	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00432_00/Y8QBjmUybwDVJn4L6v9hiGRJMhsT71uL6dc7HBTHYLm3NjXBRkgRaJV2Bqur8qsXDu1I2VMcsbVmTtKuMQeDNENr2Ym5DEu25Ia8C.pkg	JP0747-NPUF30041_00-0000000000000001	2017-10-30 15:55:05		82955024	0c0f5e90f1cef7f2dad216a53909ef9dbf1c57e9974f499906d70eb37627a044
NPUF30042	US	Evergreen Avenue	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00441_00/RgAObSCG96g80iwSQmiiTmfAcunRpM4Gx3jqP9KR5ydOcNrcPK9n3s6WPcHNN2h6l46Uqew5E7LUJBX9lgSBJRYyo0s38oQtdhvEq.pkg	JP0747-NPUF30042_00-0000000000000001	2017-11-14 22:20:28		332612848	54d144c795c4b6a077b2960d540f19bf45fd97a6fe0179b0b4c77f04c4c2400f
