Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUZ00073	US	Minis	Telegraph Crosswords (Minis)	http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00073_00/rVkPS3vfhIPX5aEwBUSJl6TcXBI3IY88gmNXI9aYKUmv6gqTv5kJNGSK12U0uLss595mIXOrQjxFLVvPK8w9MvDT9Y2eTdilupSxy.pkg	UP4082-NPUZ00073_00-SANUKGAMES000004	2017-10-30 15:53:52			8901712	71956fe34e12cf7fa8f43951569e6f544e968a7b6986bb728c767bc557369a34
NPUZ00074	US	Minis	Telegraph Sudoku & Kakuro (Minis)	http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00074_00/pOw3W9Rxi39cumSvmwApFaX8lISCvx5XjSnwbCApdNurXBX4D3iL8FM3Jj3wTKLoafPNIVL2xjNFmPNvEY4QPLerG8kiLt9E7NUem.pkg	UP4082-NPUZ00074_00-SANUKGAMES000005	2017-10-30 15:53:52			11361760	8ff8d0e072cac5c294aaf4b9cd3d4d85bab43b0face3bea55ac0c6f2e36cb267
NPUZ00075	US	Minis	Robin Hood: The Return of Richard (Minis)	http://zeus.dl.playstation.net/cdn/UP4069/NPUZ00075_00/R5uh20wvVq2qXMlt0qmaIqKu8oRRkRInXgr7pxBd0gw7nPPyblGqgntyg0yusAuEvS63p04SNvgetXgWAeOnY0vyaff9eFYeN7kQb.pkg	UP4069-NPUZ00075_00-ROBINHOODGAMEMIN	2017-10-30 15:53:52			55180912	905a609ad9201d1934658e639fc93efd6986d37c1c3d9f3a03d94117791d76d7
NPUZ00076	US	Minis	JellyCar 2 (Minis)	http://zeus.dl.playstation.net/cdn/UP1082/NPUZ00076_00/kXdmGsfMbtJQpPEjHtUe1yLMGvod1Sku6JFWoSMCRl5YOKPsvY327YH8cWQBLAET7jvdTO1UVNhTi5sUGdk1C1Q4c2LHDj6lO5g2N.pkg	UP1082-NPUZ00076_00-JELLYCAR2PSPMINI	2017-10-30 15:53:52	F672DBD4FC5E100193503B42EBAD23ED	<< DOWNLOAD RAP >>	21344464	ffd5edf02c3b681205d4b530b4790542e20064cb86ad9b4d2bd7c392eb6eaf37
NPUZ00077	US	Minis	Urbanix (Minis)	http://zeus.dl.playstation.net/cdn/UP4069/NPUZ00077_00/CYn8QOXHOwWb9SYumi6IbvIXGpwCD11fG8BjTodmysjsXLs5oaQMSlHheDobL0GUTK1Fh5iOUFjxg298obidCf3LjSkad0tmLY9Yd.pkg	UP4069-NPUZ00077_00-URBANIXMINISGAME	2017-10-30 15:53:52			22378752	bcf46831dd5c429475038cbe690109b4c4f4fc570d1fe016882081a0d3852fd5
NPUZ00078	US	Minis	5-in-1 Arcade Hits (Minis)	http://zeus.dl.playstation.net/cdn/UP4151/NPUZ00078_00/RFOtu40ry8n4BdN7WRle8ccVKHbjCyNkqRseGq66sHRuYFevj0n90LdcMobbdq0W2i3SCvQj0LXPgdjG8l9UDm7jht9Wr2AGWGgYv.pkg	UP4151-NPUZ00078_00-5IN1ARCADEHITSUS	2017-10-30 15:53:52			17710128	e21989676952e451e646c01ac130c0d3c70aa6185f8882c6cd1395834e02ddf2
NPUZ00080	US	Minis	Cubixx (Minis)	http://zeus.dl.playstation.net/cdn/UP4132/NPUZ00080_00/BAv4wXQEFA2iCyKVGxWqei2htQHMun0QgCBrWyvv60P9rp3sSnx3BIOOK0funfJdcKsBkoay9IcNVNRWo3DgB0jCeRoEgADMJVJOs.pkg	UP4132-NPUZ00080_00-CUBIXX0000000001	2017-10-30 15:53:52			29625600	e3946b737a221f7c7594500833d5c39117d162290c4397e154fb7a267b32f474
NPUZ00081	US	Minis	Jewel Keepers: Easter Islands (Minis)	http://zeus.dl.playstation.net/cdn/UP4069/NPUZ00081_00/UyfQ1PlEbiO8hYfIBC1MqNum1sWnBb3oyUVAxH90D87e7lNxykfqpOCUmpLTn6D6xxdDcjrdQHGqsITFMELckQgW3CdCS1ou3sA4k.pkg	UP4069-NPUZ00081_00-JEWELKEEPERSMINI	2017-10-30 15:53:52			25867280	668caa3e81eebf2004eb2c181fc3775439aa901122efd40f58e78af26a38ab44
NPUZ00082	US	Minis	Best Of Solitaire (Minis)	http://zeus.dl.playstation.net/cdn/UP2048/NPUZ00082_00/wClfrDeXPMgruZyVbNmEUnsoqXbElrXJYTOwbGDgyoSrpjqRkXjwIDSWnJBMSwNIWKgSdLVKYnBhnSWhVBlvPMjZvtmQrtOuOaOrM.pkg	UP2048-NPUZ00082_00-BESTOFSOLITAIRES	2017-10-30 15:53:52			22258784	fef98af2550367bef75788fcd05279003c076e86fe3f60d5e88188c7fb87ec66
NPUZ00083	US	Minis	Burnin’ Rubber (Minis)	http://zeus.dl.playstation.net/cdn/UP2033/NPUZ00083_00/URRQ6or6v1cwhyrvm3haturJL1R2I5CkUATivJcWUfFqbJEUqAaPWNT2DSXSHW151JL6j56yiyscxG4tlXkEiLaBiRSJha1gH1Lj2.pkg	UP2033-NPUZ00083_00-2010052510390001	2017-10-30 15:53:52			2481120	e22d4f07b0d051614f22e51cdbab54cdeb4cfe0453a6f7539e1cf4b7c682ad5f
